time,temp,file_i,serial
2023-01-15T18:26:43Z,13.5,1,0460 1700 1840 09
2023-01-15T18:36:43Z,13.5,1,0460 1700 1840 09
2023-01-15T18:46:43Z,13.5,1,0460 1700 1840 09
2023-01-15T18:56:43Z,13.5,1,0460 1700 1840 09
2023-01-15T19:06:43Z,13.5,1,0460 1700 1840 09
2023-01-15T19:16:43Z,13.5,1,0460 1700 1840 09
2023-01-15T19:26:43Z,13.4,1,0460 1700 1840 09
2023-01-15T19:36:43Z,13.5,1,0460 1700 1840 09
2023-01-15T19:46:43Z,13.5,1,0460 1700 1840 09
2023-01-15T19:56:43Z,13.5,1,0460 1700 1840 09
2023-01-15T20:06:43Z,13.5,1,0460 1700 1840 09
2023-01-15T20:16:43Z,13.5,1,0460 1700 1840 09
2023-01-15T20:26:43Z,13.5,1,0460 1700 1840 09
2023-01-15T20:36:43Z,13.5,1,0460 1700 1840 09
2023-01-15T20:46:43Z,13.5,1,0460 1700 1840 09
2023-01-15T20:56:43Z,13.5,1,0460 1700 1840 09
2023-01-15T21:06:43Z,13.4,1,0460 1700 1840 09
2023-01-15T21:16:43Z,13.4,1,0460 1700 1840 09
2023-01-15T21:26:43Z,13.5,1,0460 1700 1840 09
2023-01-15T21:36:43Z,13.4,1,0460 1700 1840 09
2023-01-15T21:46:43Z,13.5,1,0460 1700 1840 09
2023-01-15T21:56:43Z,13.5,1,0460 1700 1840 09
2023-01-15T22:06:43Z,13.4,1,0460 1700 1840 09
2023-01-15T22:16:43Z,13.4,1,0460 1700 1840 09
2023-01-15T22:26:43Z,13.4,1,0460 1700 1840 09
2023-01-15T22:36:43Z,13.4,1,0460 1700 1840 09
2023-01-15T22:46:43Z,13.4,1,0460 1700 1840 09
2023-01-15T22:56:43Z,13.4,1,0460 1700 1840 09
2023-01-15T23:06:43Z,13.4,1,0460 1700 1840 09
2023-01-15T23:16:43Z,13.4,1,0460 1700 1840 09
2023-01-15T23:26:43Z,13.4,1,0460 1700 1840 09
2023-01-15T23:36:43Z,13.4,1,0460 1700 1840 09
2023-01-15T23:46:43Z,13.4,1,0460 1700 1840 09
2023-01-15T23:56:43Z,13.4,1,0460 1700 1840 09
2023-01-16T00:06:43Z,13.4,1,0460 1700 1840 09
2023-01-16T00:16:43Z,13.4,1,0460 1700 1840 09
2023-01-16T00:26:43Z,13.4,1,0460 1700 1840 09
2023-01-16T00:36:43Z,13.4,1,0460 1700 1840 09
2023-01-16T00:46:43Z,13.4,1,0460 1700 1840 09
2023-01-16T00:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T01:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T01:16:43Z,13.4,1,0460 1700 1840 09
2023-01-16T01:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T01:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T01:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T01:56:43Z,13.4,1,0460 1700 1840 09
2023-01-16T02:06:43Z,13.4,1,0460 1700 1840 09
2023-01-16T02:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T02:26:43Z,13.4,1,0460 1700 1840 09
2023-01-16T02:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T02:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T02:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T03:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T03:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T03:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T03:36:43Z,13.2,1,0460 1700 1840 09
2023-01-16T03:46:43Z,13.2,1,0460 1700 1840 09
2023-01-16T03:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T04:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T04:16:43Z,13.2,1,0460 1700 1840 09
2023-01-16T04:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T04:36:43Z,13.2,1,0460 1700 1840 09
2023-01-16T04:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T04:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T05:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T05:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T05:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T05:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T05:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T05:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T06:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T06:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T06:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T06:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T06:46:43Z,13.2,1,0460 1700 1840 09
2023-01-16T06:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T07:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T07:16:43Z,13.2,1,0460 1700 1840 09
2023-01-16T07:26:43Z,13.2,1,0460 1700 1840 09
2023-01-16T07:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T07:46:43Z,13.2,1,0460 1700 1840 09
2023-01-16T07:56:43Z,13.2,1,0460 1700 1840 09
2023-01-16T08:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T08:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T08:26:43Z,13.2,1,0460 1700 1840 09
2023-01-16T08:36:43Z,13.2,1,0460 1700 1840 09
2023-01-16T08:46:43Z,13.2,1,0460 1700 1840 09
2023-01-16T08:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T09:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T09:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T09:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T09:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T09:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T09:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T10:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T10:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T10:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T10:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T10:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T10:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T11:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T11:16:43Z,13.4,1,0460 1700 1840 09
2023-01-16T11:26:43Z,13.4,1,0460 1700 1840 09
2023-01-16T11:36:43Z,13.4,1,0460 1700 1840 09
2023-01-16T11:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T11:56:43Z,13.4,1,0460 1700 1840 09
2023-01-16T12:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T12:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T12:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T12:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T12:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T12:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T13:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T13:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T13:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T13:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T13:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T13:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T14:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T14:16:43Z,13.4,1,0460 1700 1840 09
2023-01-16T14:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T14:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T14:46:43Z,13.2,1,0460 1700 1840 09
2023-01-16T14:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T15:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T15:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T15:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T15:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T15:46:43Z,13.2,1,0460 1700 1840 09
2023-01-16T15:56:43Z,13.2,1,0460 1700 1840 09
2023-01-16T16:06:43Z,13.2,1,0460 1700 1840 09
2023-01-16T16:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T16:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T16:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T16:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T16:56:43Z,13.2,1,0460 1700 1840 09
2023-01-16T17:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T17:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T17:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T17:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T17:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T17:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T18:06:43Z,13.4,1,0460 1700 1840 09
2023-01-16T18:16:43Z,13.4,1,0460 1700 1840 09
2023-01-16T18:26:43Z,13.4,1,0460 1700 1840 09
2023-01-16T18:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T18:46:43Z,13.4,1,0460 1700 1840 09
2023-01-16T18:56:43Z,13.4,1,0460 1700 1840 09
2023-01-16T19:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T19:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T19:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T19:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T19:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T19:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T20:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T20:16:43Z,13.4,1,0460 1700 1840 09
2023-01-16T20:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T20:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T20:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T20:56:43Z,13.4,1,0460 1700 1840 09
2023-01-16T21:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T21:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T21:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T21:36:43Z,13.3,1,0460 1700 1840 09
2023-01-16T21:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T21:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T22:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T22:16:43Z,13.3,1,0460 1700 1840 09
2023-01-16T22:26:43Z,13.4,1,0460 1700 1840 09
2023-01-16T22:36:43Z,13.4,1,0460 1700 1840 09
2023-01-16T22:46:43Z,13.4,1,0460 1700 1840 09
2023-01-16T22:56:43Z,13.3,1,0460 1700 1840 09
2023-01-16T23:06:43Z,13.3,1,0460 1700 1840 09
2023-01-16T23:16:43Z,13.4,1,0460 1700 1840 09
2023-01-16T23:26:43Z,13.3,1,0460 1700 1840 09
2023-01-16T23:36:43Z,13.4,1,0460 1700 1840 09
2023-01-16T23:46:43Z,13.3,1,0460 1700 1840 09
2023-01-16T23:56:43Z,13.3,1,0460 1700 1840 09
2023-01-17T00:06:43Z,13.4,1,0460 1700 1840 09
2023-01-17T00:16:43Z,13.4,1,0460 1700 1840 09
2023-01-17T00:26:43Z,13.3,1,0460 1700 1840 09
2023-01-17T00:36:43Z,13.3,1,0460 1700 1840 09
2023-01-17T00:46:43Z,13.3,1,0460 1700 1840 09
2023-01-17T00:56:43Z,13.3,1,0460 1700 1840 09
2023-01-17T01:06:43Z,13.3,1,0460 1700 1840 09
2023-01-17T01:16:43Z,13.3,1,0460 1700 1840 09
2023-01-17T01:26:43Z,13.4,1,0460 1700 1840 09
2023-01-17T01:36:43Z,13.3,1,0460 1700 1840 09
2023-01-17T01:46:43Z,13.3,1,0460 1700 1840 09
2023-01-17T01:56:43Z,13.2,1,0460 1700 1840 09
2023-01-17T02:06:43Z,13.3,1,0460 1700 1840 09
2023-01-17T02:16:43Z,13.3,1,0460 1700 1840 09
2023-01-17T02:26:43Z,13.3,1,0460 1700 1840 09
2023-01-17T02:36:43Z,13.3,1,0460 1700 1840 09
2023-01-17T02:46:43Z,13.2,1,0460 1700 1840 09
2023-01-17T02:56:43Z,13.3,1,0460 1700 1840 09
2023-01-17T03:06:43Z,13.2,1,0460 1700 1840 09
2023-01-17T03:16:43Z,13.2,1,0460 1700 1840 09
2023-01-17T03:26:43Z,13.2,1,0460 1700 1840 09
2023-01-17T03:36:43Z,13.3,1,0460 1700 1840 09
2023-01-17T03:46:43Z,13.2,1,0460 1700 1840 09
2023-01-17T03:56:43Z,13.3,1,0460 1700 1840 09
2023-01-17T04:06:43Z,13.2,1,0460 1700 1840 09
2023-01-17T04:16:43Z,13.2,1,0460 1700 1840 09
2023-01-17T04:26:43Z,13.2,1,0460 1700 1840 09
2023-01-17T04:36:43Z,13.3,1,0460 1700 1840 09
2023-01-17T04:46:43Z,13.2,1,0460 1700 1840 09
2023-01-17T04:56:43Z,13.3,1,0460 1700 1840 09
2023-01-17T05:06:43Z,13.3,1,0460 1700 1840 09
2023-01-17T05:16:43Z,13.3,1,0460 1700 1840 09
2023-01-17T05:26:43Z,13.2,1,0460 1700 1840 09
2023-01-17T05:36:43Z,13.2,1,0460 1700 1840 09
2023-01-17T05:46:43Z,13.3,1,0460 1700 1840 09
2023-01-17T05:56:43Z,13.2,1,0460 1700 1840 09
2023-01-17T06:06:43Z,13.2,1,0460 1700 1840 09
2023-01-17T06:16:43Z,13.2,1,0460 1700 1840 09
2023-01-17T06:26:43Z,13.2,1,0460 1700 1840 09
2023-01-17T06:36:43Z,13.3,1,0460 1700 1840 09
2023-01-17T06:46:43Z,13.2,1,0460 1700 1840 09
2023-01-17T06:56:43Z,13.3,1,0460 1700 1840 09
2023-01-17T07:06:43Z,13.2,1,0460 1700 1840 09
2023-01-17T07:16:43Z,13.2,1,0460 1700 1840 09
2023-01-17T07:26:43Z,13.2,1,0460 1700 1840 09
2023-01-17T07:36:43Z,13.2,1,0460 1700 1840 09
2023-01-17T07:46:43Z,13.2,1,0460 1700 1840 09
2023-01-17T07:56:43Z,13.2,1,0460 1700 1840 09
2023-01-17T08:06:43Z,13.2,1,0460 1700 1840 09
2023-01-17T08:16:43Z,13.2,1,0460 1700 1840 09
2023-01-17T08:26:43Z,13.2,1,0460 1700 1840 09
2023-01-17T08:36:43Z,13.2,1,0460 1700 1840 09
2023-01-17T08:46:43Z,13.1,1,0460 1700 1840 09
2023-01-17T08:56:43Z,13.2,1,0460 1700 1840 09
2023-01-17T09:06:43Z,13.2,1,0460 1700 1840 09
2023-01-17T09:16:43Z,13.2,1,0460 1700 1840 09
2023-01-17T09:26:43Z,13.2,1,0460 1700 1840 09
2023-01-17T09:36:43Z,13.2,1,0460 1700 1840 09
2023-01-17T09:46:43Z,13.1,1,0460 1700 1840 09
2023-01-17T09:56:43Z,13.2,1,0460 1700 1840 09
2023-01-17T10:06:43Z,13.1,1,0460 1700 1840 09
2023-01-17T10:16:43Z,13.1,1,0460 1700 1840 09
2023-01-17T10:26:43Z,13.1,1,0460 1700 1840 09
2023-01-17T10:36:43Z,13.1,1,0460 1700 1840 09
2023-01-17T10:46:43Z,13.1,1,0460 1700 1840 09
2023-01-17T10:56:43Z,13.1,1,0460 1700 1840 09
2023-01-17T11:06:43Z,13.1,1,0460 1700 1840 09
2023-01-17T11:16:43Z,13.1,1,0460 1700 1840 09
2023-01-17T11:26:43Z,13.1,1,0460 1700 1840 09
2023-01-17T11:36:43Z,13,1,0460 1700 1840 09
2023-01-17T11:46:43Z,13.1,1,0460 1700 1840 09
2023-01-17T11:56:43Z,13,1,0460 1700 1840 09
2023-01-17T12:06:43Z,12.9,1,0460 1700 1840 09
2023-01-17T12:16:43Z,12.9,1,0460 1700 1840 09
2023-01-17T12:26:43Z,13,1,0460 1700 1840 09
2023-01-17T12:36:43Z,12.9,1,0460 1700 1840 09
2023-01-17T12:46:43Z,12.9,1,0460 1700 1840 09
2023-01-17T12:56:43Z,12.9,1,0460 1700 1840 09
2023-01-17T13:06:43Z,13,1,0460 1700 1840 09
2023-01-17T13:16:43Z,12.9,1,0460 1700 1840 09
2023-01-17T13:26:43Z,12.9,1,0460 1700 1840 09
2023-01-17T13:36:43Z,12.9,1,0460 1700 1840 09
2023-01-17T13:46:43Z,12.8,1,0460 1700 1840 09
2023-01-17T13:56:43Z,12.9,1,0460 1700 1840 09
2023-01-17T14:06:43Z,12.8,1,0460 1700 1840 09
2023-01-17T14:16:43Z,12.8,1,0460 1700 1840 09
2023-01-17T14:26:43Z,12.8,1,0460 1700 1840 09
2023-01-17T14:36:43Z,12.8,1,0460 1700 1840 09
2023-01-17T14:46:43Z,12.8,1,0460 1700 1840 09
2023-01-17T14:56:43Z,12.8,1,0460 1700 1840 09
2023-01-17T15:06:43Z,12.8,1,0460 1700 1840 09
2023-01-17T15:16:43Z,12.8,1,0460 1700 1840 09
2023-01-17T15:26:43Z,12.8,1,0460 1700 1840 09
2023-01-17T15:36:43Z,12.7,1,0460 1700 1840 09
2023-01-17T15:46:43Z,12.8,1,0460 1700 1840 09
2023-01-17T15:56:43Z,12.8,1,0460 1700 1840 09
2023-01-17T16:06:43Z,12.8,1,0460 1700 1840 09
2023-01-17T16:16:43Z,12.8,1,0460 1700 1840 09
2023-01-17T16:26:43Z,12.8,1,0460 1700 1840 09
2023-01-17T16:36:43Z,12.8,1,0460 1700 1840 09
2023-01-17T16:46:43Z,12.8,1,0460 1700 1840 09
2023-01-17T16:56:43Z,12.8,1,0460 1700 1840 09
2023-01-17T17:06:43Z,12.9,1,0460 1700 1840 09
2023-01-17T17:16:43Z,12.9,1,0460 1700 1840 09
2023-01-17T17:26:43Z,12.9,1,0460 1700 1840 09
2023-01-17T17:36:43Z,12.9,1,0460 1700 1840 09
2023-01-17T17:46:43Z,12.9,1,0460 1700 1840 09
2023-01-17T17:56:43Z,12.9,1,0460 1700 1840 09
2023-01-17T18:06:43Z,12.9,1,0460 1700 1840 09
2023-01-17T18:16:43Z,13,1,0460 1700 1840 09
2023-01-17T18:26:43Z,13,1,0460 1700 1840 09
2023-01-17T18:36:43Z,13.1,1,0460 1700 1840 09
2023-01-17T18:46:43Z,13.1,1,0460 1700 1840 09
2023-01-17T18:56:43Z,13.1,1,0460 1700 1840 09
2023-01-17T19:06:43Z,13.2,1,0460 1700 1840 09
2023-01-17T19:16:43Z,13.2,1,0460 1700 1840 09
2023-01-17T19:26:43Z,13.2,1,0460 1700 1840 09
2023-01-17T19:36:43Z,13.3,1,0460 1700 1840 09
2023-01-17T19:46:43Z,13.3,1,0460 1700 1840 09
2023-01-17T19:56:43Z,13.4,1,0460 1700 1840 09
2023-01-17T20:06:43Z,13.5,1,0460 1700 1840 09
2023-01-17T20:16:43Z,13.4,1,0460 1700 1840 09
2023-01-17T20:26:43Z,13.4,1,0460 1700 1840 09
2023-01-17T20:36:43Z,13.5,1,0460 1700 1840 09
2023-01-17T20:46:43Z,13.5,1,0460 1700 1840 09
2023-01-17T20:56:43Z,13.4,1,0460 1700 1840 09
2023-01-17T21:06:43Z,13.5,1,0460 1700 1840 09
2023-01-17T21:16:43Z,13.4,1,0460 1700 1840 09
2023-01-17T21:26:43Z,13.5,1,0460 1700 1840 09
2023-01-17T21:36:43Z,13.6,1,0460 1700 1840 09
2023-01-17T21:46:43Z,13.5,1,0460 1700 1840 09
2023-01-17T21:56:43Z,13.4,1,0460 1700 1840 09
2023-01-17T22:06:43Z,13.4,1,0460 1700 1840 09
2023-01-17T22:16:43Z,13.4,1,0460 1700 1840 09
2023-01-17T22:26:43Z,13.4,1,0460 1700 1840 09
2023-01-17T22:36:43Z,13.4,1,0460 1700 1840 09
2023-01-17T22:46:43Z,13.5,1,0460 1700 1840 09
2023-01-17T22:56:43Z,13.4,1,0460 1700 1840 09
2023-01-17T23:06:43Z,13.4,1,0460 1700 1840 09
2023-01-17T23:16:43Z,13.4,1,0460 1700 1840 09
2023-01-17T23:26:43Z,13.4,1,0460 1700 1840 09
2023-01-17T23:36:43Z,13.4,1,0460 1700 1840 09
2023-01-17T23:46:43Z,13.4,1,0460 1700 1840 09
2023-01-17T23:56:43Z,13.4,1,0460 1700 1840 09
2023-01-18T00:06:43Z,13.4,1,0460 1700 1840 09
2023-01-18T00:16:43Z,13.4,1,0460 1700 1840 09
2023-01-18T00:26:43Z,13.4,1,0460 1700 1840 09
2023-01-18T00:36:43Z,13.4,1,0460 1700 1840 09
2023-01-18T00:46:43Z,13.3,1,0460 1700 1840 09
2023-01-18T00:56:43Z,13.3,1,0460 1700 1840 09
2023-01-18T01:06:43Z,13.3,1,0460 1700 1840 09
2023-01-18T01:16:43Z,13.3,1,0460 1700 1840 09
2023-01-18T01:26:43Z,13.3,1,0460 1700 1840 09
2023-01-18T01:36:43Z,13.3,1,0460 1700 1840 09
2023-01-18T01:46:43Z,13.3,1,0460 1700 1840 09
2023-01-18T01:56:43Z,13.3,1,0460 1700 1840 09
2023-01-18T02:06:43Z,13.3,1,0460 1700 1840 09
2023-01-18T02:16:43Z,13.3,1,0460 1700 1840 09
2023-01-18T02:26:43Z,13.3,1,0460 1700 1840 09
2023-01-18T02:36:43Z,13.3,1,0460 1700 1840 09
2023-01-18T02:46:43Z,13.3,1,0460 1700 1840 09
2023-01-18T02:56:43Z,13.3,1,0460 1700 1840 09
2023-01-18T03:06:43Z,13.2,1,0460 1700 1840 09
2023-01-18T03:16:43Z,13.3,1,0460 1700 1840 09
2023-01-18T03:26:43Z,13.3,1,0460 1700 1840 09
2023-01-18T03:36:43Z,13.3,1,0460 1700 1840 09
2023-01-18T03:46:43Z,13.2,1,0460 1700 1840 09
2023-01-18T03:56:43Z,13.2,1,0460 1700 1840 09
2023-01-18T04:06:43Z,13.2,1,0460 1700 1840 09
2023-01-18T04:16:43Z,13.2,1,0460 1700 1840 09
2023-01-18T04:26:43Z,13.2,1,0460 1700 1840 09
2023-01-18T04:36:43Z,13.2,1,0460 1700 1840 09
2023-01-18T04:46:43Z,13.3,1,0460 1700 1840 09
2023-01-18T04:56:43Z,13.2,1,0460 1700 1840 09
2023-01-18T05:06:43Z,13.2,1,0460 1700 1840 09
2023-01-18T05:16:43Z,13.1,1,0460 1700 1840 09
2023-01-18T05:26:43Z,13.2,1,0460 1700 1840 09
2023-01-18T05:36:43Z,13.2,1,0460 1700 1840 09
2023-01-18T05:46:43Z,13.1,1,0460 1700 1840 09
2023-01-18T05:56:43Z,13.2,1,0460 1700 1840 09
2023-01-18T06:06:43Z,13.2,1,0460 1700 1840 09
2023-01-18T06:16:43Z,13.2,1,0460 1700 1840 09
2023-01-18T06:26:43Z,13.2,1,0460 1700 1840 09
2023-01-18T06:36:43Z,13.2,1,0460 1700 1840 09
2023-01-18T06:46:43Z,13.2,1,0460 1700 1840 09
2023-01-18T06:56:43Z,13.1,1,0460 1700 1840 09
2023-01-18T07:06:43Z,13.2,1,0460 1700 1840 09
2023-01-18T07:16:43Z,13.2,1,0460 1700 1840 09
2023-01-18T07:26:43Z,13.1,1,0460 1700 1840 09
2023-01-18T07:36:43Z,13.1,1,0460 1700 1840 09
2023-01-18T07:46:43Z,13.1,1,0460 1700 1840 09
2023-01-18T07:56:43Z,13.1,1,0460 1700 1840 09
2023-01-18T08:06:43Z,13.1,1,0460 1700 1840 09
2023-01-18T08:16:43Z,13.1,1,0460 1700 1840 09
2023-01-18T08:26:43Z,13.2,1,0460 1700 1840 09
2023-01-18T08:36:43Z,13.1,1,0460 1700 1840 09
2023-01-18T08:46:43Z,13.2,1,0460 1700 1840 09
2023-01-18T08:56:43Z,13.2,1,0460 1700 1840 09
2023-01-18T09:06:43Z,13.1,1,0460 1700 1840 09
2023-01-18T09:16:43Z,13.1,1,0460 1700 1840 09
2023-01-18T09:26:43Z,13.1,1,0460 1700 1840 09
2023-01-18T09:36:43Z,13.1,1,0460 1700 1840 09
2023-01-18T09:46:43Z,13,1,0460 1700 1840 09
2023-01-18T09:56:43Z,13.2,1,0460 1700 1840 09
2023-01-18T10:06:43Z,13.1,1,0460 1700 1840 09
2023-01-18T10:16:43Z,13.1,1,0460 1700 1840 09
2023-01-18T10:26:43Z,13.1,1,0460 1700 1840 09
2023-01-18T10:36:43Z,13.1,1,0460 1700 1840 09
2023-01-18T10:46:43Z,13.1,1,0460 1700 1840 09
2023-01-18T10:56:43Z,13,1,0460 1700 1840 09
2023-01-18T11:06:43Z,13.1,1,0460 1700 1840 09
2023-01-18T11:16:43Z,13.1,1,0460 1700 1840 09
2023-01-18T11:26:43Z,13.1,1,0460 1700 1840 09
2023-01-18T11:36:43Z,13.1,1,0460 1700 1840 09
2023-01-18T11:46:43Z,13.1,1,0460 1700 1840 09
2023-01-18T11:56:43Z,13.1,1,0460 1700 1840 09
2023-01-18T12:06:43Z,13.1,1,0460 1700 1840 09
2023-01-18T12:16:43Z,13.1,1,0460 1700 1840 09
2023-01-18T12:26:43Z,13.1,1,0460 1700 1840 09
2023-01-18T12:36:43Z,13.1,1,0460 1700 1840 09
2023-01-18T12:46:43Z,13,1,0460 1700 1840 09
2023-01-18T12:56:43Z,13,1,0460 1700 1840 09
2023-01-18T13:06:43Z,13.1,1,0460 1700 1840 09
2023-01-18T13:16:43Z,13.1,1,0460 1700 1840 09
2023-01-18T13:26:43Z,13.1,1,0460 1700 1840 09
2023-01-18T13:36:43Z,13.1,1,0460 1700 1840 09
2023-01-18T13:46:43Z,13,1,0460 1700 1840 09
2023-01-18T13:56:43Z,13,1,0460 1700 1840 09
2023-01-18T14:06:43Z,12.9,1,0460 1700 1840 09
2023-01-18T14:16:43Z,12.9,1,0460 1700 1840 09
2023-01-18T14:26:43Z,13,1,0460 1700 1840 09
2023-01-18T14:36:43Z,13,1,0460 1700 1840 09
2023-01-18T14:46:43Z,13,1,0460 1700 1840 09
2023-01-18T14:56:43Z,13,1,0460 1700 1840 09
2023-01-18T15:06:43Z,12.9,1,0460 1700 1840 09
2023-01-18T15:16:43Z,13,1,0460 1700 1840 09
2023-01-18T15:26:43Z,13,1,0460 1700 1840 09
2023-01-18T15:36:43Z,12.9,1,0460 1700 1840 09
2023-01-18T15:46:43Z,13,1,0460 1700 1840 09
2023-01-18T15:56:43Z,12.9,1,0460 1700 1840 09
2023-01-18T16:06:43Z,13,1,0460 1700 1840 09
2023-01-18T16:16:43Z,13,1,0460 1700 1840 09
2023-01-18T16:26:43Z,13,1,0460 1700 1840 09
2023-01-18T16:36:43Z,13,1,0460 1700 1840 09
2023-01-18T16:46:43Z,13,1,0460 1700 1840 09
2023-01-18T16:56:43Z,13.1,1,0460 1700 1840 09
2023-01-18T17:06:43Z,13.1,1,0460 1700 1840 09
2023-01-18T17:16:43Z,13.1,1,0460 1700 1840 09
2023-01-18T17:26:43Z,13.1,1,0460 1700 1840 09
2023-01-18T17:36:43Z,13.1,1,0460 1700 1840 09
2023-01-18T17:46:43Z,13.1,1,0460 1700 1840 09
2023-01-18T17:56:43Z,13.2,1,0460 1700 1840 09
2023-01-18T18:06:43Z,13.2,1,0460 1700 1840 09
2023-01-18T18:16:43Z,13.2,1,0460 1700 1840 09
2023-01-18T18:26:43Z,13.2,1,0460 1700 1840 09
2023-01-18T18:36:43Z,13.3,1,0460 1700 1840 09
2023-01-18T18:46:43Z,13.4,1,0460 1700 1840 09
2023-01-18T18:56:43Z,13.4,1,0460 1700 1840 09
2023-01-18T19:06:43Z,13.3,1,0460 1700 1840 09
2023-01-18T19:16:43Z,13.4,1,0460 1700 1840 09
